LAT,LONG,YEAR1,YEAR2,PRED
45.362749,-75.642758,2012,2015,1
45.362749,-75.674983,2014,2015,1
45.362767,-75.642763,2007,2009,1
45.362820,-75.649642,2014,2015,1
45.362823,-75.641616,2007,2012,1
45.362829,-75.641623,2007,2012,1
45.362830,-75.669421,2007,2012,1
45.362831,-75.628260,2012,2015,1
45.362846,-75.708107,2014,2015,1
45.362854,-75.721718,2009,2012,1
45.362854,-75.721718,2012,2012,1
45.362870,-75.722430,2012,2012,1
45.362872,-75.793163,2007,2009,1
45.362879,-75.642812,2007,2009,1
45.362884,-75.722985,2012,2012,1
45.362887,-75.628123,2012,2015,1
45.362892,-75.726985,2012,2012,1
45.362895,-75.723258,2012,2012,1
45.362917,-75.683449,2007,2009,1
45.362917,-75.683449,2009,2014,1
45.362921,-75.718763,2012,2014,1
45.362934,-75.628009,2012,2015,1
45.362980,-75.627887,2012,2015,1
45.362980,-75.720841,2015,2016,1
45.362986,-75.792789,2014,2015,1
45.363013,-75.671472,2012,2014,1
45.363013,-75.671472,2014,2014,1
45.363017,-75.704778,2014,2015,1
45.363032,-75.792632,2007,2012,1
45.363041,-75.754698,2015,2015,1
45.363056,-75.728170,2012,2012,1
45.363056,-75.728170,2012,2014,1
45.363077,-75.627588,2012,2015,1
45.363089,-75.670440,2014,2014,1
45.363095,-75.754557,2009,2012,1
45.363100,-75.706588,2009,2012,1
45.363122,-75.724498,2012,2012,1
45.363131,-75.718756,2009,2012,1
45.363147,-75.644066,2009,2015,1
45.363152,-75.627349,2012,2015,1
45.363167,-75.735910,2012,2014,1
45.363186,-75.751506,2014,2015,1
45.363231,-75.756777,2009,2012,1
45.363238,-75.786761,2012,2014,1
45.363311,-75.705036,2009,2012,1
45.363313,-75.791686,2012,2014,1
45.363318,-75.794276,2007,2009,1
45.363323,-75.794258,2012,2014,1
45.363344,-75.709840,2015,2015,1
45.363360,-75.791526,2014,2015,1
45.363371,-75.720830,2012,2012,1
45.363371,-75.720830,2015,2016,1
45.363407,-75.643527,2009,2012,1
45.363420,-75.788085,2012,2014,1
