LAT,LONG,YEAR1,YEAR2,PRED
45.332703,-75.768999,2015,2015,1
45.332733,-75.751494,2015,2015,1
45.332741,-75.762005,2012,2015,1
45.332751,-75.773663,2009,2012,1
45.332763,-75.776202,2009,2012,1
45.332776,-75.745945,2014,2015,1
45.332791,-75.773787,2009,2012,1
45.332897,-75.743813,2014,2015,1
45.332918,-75.770860,2012,2015,1
45.332947,-75.740021,2012,2012,1
45.332967,-75.766439,2009,2012,1
45.332967,-75.766439,2014,2015,1
45.332967,-75.766439,2015,2016,1
45.332969,-75.763367,2007,2009,1
45.332999,-75.766300,2014,2015,1
45.333102,-75.772273,2009,2012,1
45.333103,-75.765842,2012,2014,1
45.333125,-75.769622,2009,2012,1
45.333138,-75.765691,2012,2014,1
45.333200,-75.756710,2015,2015,1
45.333348,-75.718261,2012,2014,1
45.333358,-75.795896,2009,2014,1
45.333364,-75.764857,2007,2009,1
45.333364,-75.764857,2009,2012,1
45.333384,-75.769323,2009,2012,1
45.333405,-75.727425,2012,2014,1
45.333410,-75.762548,2012,2015,1
45.333449,-75.737844,2014,2015,1
45.333503,-75.755348,2012,2014,1
45.333512,-75.766665,2012,2015,1
45.333642,-75.764580,2015,2016,1
45.333689,-75.744189,2012,2014,1
45.333689,-75.744189,2014,2015,1
45.333735,-75.754328,2012,2012,1
45.333758,-75.768161,2014,2015,1
45.333768,-75.765509,2009,2012,1
45.333803,-75.715492,2012,2012,1
45.333803,-75.715492,2015,2016,1
45.333809,-75.754082,2012,2014,1
45.333886,-75.770008,2009,2012,1
45.333907,-75.753825,2012,2012,1
45.333907,-75.753825,2012,2014,1
45.333957,-75.769636,2014,2015,1
45.333965,-75.765254,2009,2012,1
45.333991,-75.753617,2012,2012,1
45.333991,-75.753617,2012,2014,1
45.334009,-75.736251,2009,2012,1
45.334012,-75.789927,2007,2009,1
45.334037,-75.769468,2012,2012,1
45.334054,-75.764317,2007,2009,1
45.334136,-75.766775,2009,2012,1
45.334147,-75.772483,2007,2009,1
45.334188,-75.766198,2009,2012,1
45.334197,-75.735756,2012,2014,1
45.334400,-75.771900,2007,2012,1
45.334402,-75.771978,2007,2009,1
45.334516,-75.720573,2009,2012,1
45.334517,-75.753772,2012,2014,1
45.334577,-75.797238,2014,2015,1
45.334613,-75.720349,2009,2014,1
45.334613,-75.720349,2014,2015,1
45.334641,-75.720285,2015,2016,1
45.334833,-75.787059,2007,2012,1
45.334930,-75.739888,2007,2012,1
45.334976,-75.780175,2012,2014,1
45.334998,-75.800592,2014,2015,1
45.335063,-75.748237,2007,2012,1
45.335145,-75.760205,2012,2012,1
45.335182,-75.714059,2015,2016,1
45.335194,-75.792938,2009,2012,1
45.335266,-75.785428,2012,2014,1
45.335266,-75.785428,2014,2015,1
45.335331,-75.791059,2014,2015,1
45.335398,-75.750622,2009,2012,1
45.335415,-75.775845,2009,2015,1
45.335444,-75.735349,2009,2014,1
45.335483,-75.786086,2009,2012,1
45.335556,-75.775036,2007,2012,1
45.335620,-75.748735,2014,2015,1
45.335762,-75.771610,2014,2015,1
45.335843,-75.756646,2009,2015,1
45.335893,-75.773361,2009,2012,1
45.335928,-75.770559,2012,2014,1
45.335932,-75.734376,2007,2009,1
45.335932,-75.734376,2015,2016,1
45.336019,-75.804039,2012,2014,1
45.336085,-75.786706,2009,2012,1
45.336098,-75.737647,2014,2015,1
45.336154,-75.746769,2007,2009,1
45.336177,-75.755422,2012,2014,1
45.336179,-75.737511,2007,2009,1
45.336183,-75.802610,2009,2012,1
45.336193,-75.750354,2009,2014,1
45.336231,-75.772411,2009,2012,1
45.336246,-75.766545,2012,2014,1
45.336273,-75.776548,2009,2012,1
45.336296,-75.795381,2009,2012,1
45.336296,-75.795381,2012,2012,1
45.336296,-75.795381,2014,2015,1
45.336346,-75.773071,2009,2012,1
45.336365,-75.750447,2009,2012,1
45.336370,-75.748076,2012,2014,1
45.362189,-75.792750,2012,2014,1
45.362226,-75.784759,2009,2012,1
45.362268,-75.642852,2007,2009,1
45.362286,-75.786943,2012,2012,1
45.362339,-75.784822,2014,2015,1
45.362340,-75.766513,2012,2012,1
45.362362,-75.719820,2015,2016,1
45.362373,-75.700332,2009,2012,1
45.362392,-75.642677,2007,2012,1
45.362419,-75.731396,2014,2015,1
45.362452,-75.787031,2009,2012,1
45.362495,-75.646631,2012,2015,1
45.362533,-75.702179,2014,2015,1
45.362562,-75.757381,2014,2015,1
45.362573,-75.729786,2007,2012,1
45.362576,-75.747495,2012,2015,1
45.362586,-75.784961,2009,2012,1
45.362586,-75.800983,2009,2012,1
45.362604,-75.794050,2012,2014,1
45.362627,-75.642725,2007,2012,1
45.362627,-75.642725,2012,2015,1
45.362627,-75.731516,2012,2015,1
45.362634,-75.790515,2016,2016,1
45.362696,-75.642744,2007,2012,1
45.362696,-75.642744,2012,2015,1
45.362701,-75.794571,2012,2014,1
45.362732,-75.644975,2007,2012,1
45.362733,-75.752996,2012,2014,1
45.362753,-75.756093,2009,2012,1
45.362766,-75.774813,2012,2014,1
45.362773,-75.683319,2012,2012,1
45.362788,-75.744180,2012,2014,1
45.362838,-75.700400,2009,2012,1
45.362848,-75.709825,2014,2015,1
45.362848,-75.721366,2015,2015,1
45.362848,-75.794660,2012,2014,1
45.362854,-75.721718,2009,2012,1
45.362854,-75.721718,2012,2012,1
45.362859,-75.721998,2012,2012,1
45.362868,-75.794672,2007,2012,1
45.362868,-75.794672,2015,2015,1
45.362874,-75.710895,2012,2014,1
45.362875,-75.756009,2009,2012,1
45.362876,-75.644884,2009,2012,1
45.362921,-75.793002,2007,2009,1
45.362936,-75.788715,2015,2016,1
45.363013,-75.671472,2014,2014,1
45.363017,-75.704778,2014,2015,1
45.363027,-75.798415,2009,2012,1
45.363032,-75.792632,2007,2012,1
45.363052,-75.786321,2012,2014,1
45.363095,-75.754557,2009,2012,1
45.363100,-75.706588,2009,2012,1
45.363146,-75.776154,2009,2012,1
45.363152,-75.627349,2012,2015,1
45.363238,-75.786761,2012,2014,1
45.363238,-75.786761,2014,2014,1
45.363261,-75.641912,2007,2015,1
45.363284,-75.719786,2015,2016,1
45.363298,-75.674192,2012,2014,1
45.363311,-75.705036,2009,2012,1
45.363313,-75.791686,2015,2016,1
45.363323,-75.756521,2009,2012,1
45.363323,-75.794258,2007,2009,1
45.363344,-75.709840,2015,2015,1
45.363347,-75.796055,2007,2012,1
45.363360,-75.791526,2015,2016,1
45.363385,-75.774388,2012,2014,1
45.363444,-75.801209,2009,2012,1
45.363455,-75.718734,2009,2012,1
45.363455,-75.791207,2015,2016,1
45.363502,-75.791048,2012,2014,1
45.363584,-75.721575,2014,2015,1
45.363586,-75.721774,2014,2015,1
45.363600,-75.683494,2012,2015,1
45.363600,-75.793336,2014,2015,1
45.363644,-75.705327,2007,2009,1
45.363689,-75.795553,2009,2012,1
45.363689,-75.795553,2012,2014,1
45.363702,-75.644360,2007,2015,1
45.363749,-75.792836,2009,2012,1
45.363833,-75.643886,2007,2015,1
45.363847,-75.790305,2015,2016,1
45.363860,-75.797450,2012,2014,1
