LAT,LON,MINY,MAXY,DRANGE,NPHOTO,NYEARS
45.316130,-75.831381,2007,2015,8,5,4
45.316133,-75.831373,2007,2015,8,5,4
45.316147,-75.818671,2007,2014,7,4,3
45.316164,-75.819775,2007,2014,7,4,4
45.316164,-75.821006,2007,2014,7,5,4
45.316173,-75.840774,2007,2015,8,6,5
45.316177,-75.831265,2007,2015,8,5,5
45.316178,-75.831261,2007,2015,8,5,5
45.316187,-75.840811,2007,2015,8,6,5
45.316193,-75.838632,2007,2015,8,3,3
45.316195,-75.821030,2007,2014,7,5,4
45.316196,-75.842460,2007,2015,8,6,5
45.316221,-75.842437,2007,2015,8,6,5
45.316222,-75.840896,2007,2015,8,6,5
45.316225,-75.831143,2007,2015,8,6,5
45.316225,-75.831144,2007,2015,8,6,5
45.316232,-75.825486,2007,2014,7,4,4
45.316237,-75.840933,2007,2015,8,6,5
45.316238,-75.825680,2007,2014,7,5,4
45.316257,-75.822312,2007,2014,7,4,4
45.316260,-75.825815,2007,2014,7,5,4
45.316267,-75.840357,2007,2015,8,6,5
45.316268,-75.840356,2007,2015,8,6,5
45.316268,-75.841009,2007,2015,8,6,5
45.316272,-75.831027,2007,2015,8,5,5
45.316279,-75.825894,2007,2014,7,5,4
45.316284,-75.841048,2007,2015,8,6,5
45.316285,-75.830993,2007,2015,8,5,5
45.316285,-75.842379,2007,2015,8,6,5
45.316296,-75.842369,2007,2015,8,6,5
45.316312,-75.841114,2007,2015,8,6,5
45.316322,-75.832946,2007,2015,8,5,4
45.316330,-75.821135,2007,2014,7,4,4
45.316335,-75.821140,2007,2014,7,4,4
45.316339,-75.826033,2007,2014,7,5,4
45.316345,-75.818555,2007,2014,7,5,4
45.316350,-75.841184,2007,2015,8,6,5
45.316357,-75.842313,2007,2015,8,6,5
45.316374,-75.825043,2007,2014,7,5,4
45.316380,-75.830012,2007,2015,8,5,5
45.316385,-75.825013,2007,2014,7,5,4
45.316389,-75.838476,2007,2016,9,5,4
45.316389,-75.841238,2007,2015,8,6,5
45.316400,-75.838747,2007,2016,9,9,6
45.316411,-75.839013,2007,2016,9,6,5
45.316411,-75.842265,2007,2015,8,6,5
45.316417,-75.841270,2007,2015,8,6,5
45.316419,-75.830660,2007,2015,8,5,5
45.316429,-75.830635,2007,2015,8,5,5
45.316442,-75.826117,2007,2014,7,5,4
45.316443,-75.842236,2007,2015,8,5,5
45.316448,-75.841302,2007,2015,8,6,5
45.316457,-75.822432,2007,2014,7,3,3
45.316462,-75.822434,2007,2014,7,3,3
45.316479,-75.818477,2007,2014,7,5,4
45.316481,-75.824770,2007,2014,7,5,4
45.316481,-75.824771,2007,2014,7,5,4
45.316482,-75.842200,2007,2015,8,5,5
45.316487,-75.821259,2007,2014,7,4,4
45.316498,-75.841353,2007,2015,8,6,5
45.316507,-75.821274,2007,2014,7,4,4
45.316508,-75.816335,2007,2014,7,5,4
45.316535,-75.818445,2007,2014,7,5,4
45.316538,-75.842145,2007,2015,8,6,5
45.316556,-75.831963,2007,2015,8,5,4
45.316556,-75.842125,2007,2015,8,6,5
45.316568,-75.824550,2007,2014,7,5,4
45.316571,-75.839691,2007,2016,9,6,6
45.316575,-75.839701,2007,2016,9,6,6
45.316577,-75.831975,2007,2015,8,5,4
45.316579,-75.819835,2007,2014,7,5,4
45.316590,-75.819876,2007,2014,7,5,4
45.316591,-75.824493,2007,2014,7,5,4
45.316592,-75.826099,2007,2014,7,5,4
45.316594,-75.841450,2007,2015,8,6,5
45.316603,-75.842066,2007,2015,8,6,5
45.316619,-75.837540,2007,2015,8,6,5
45.316622,-75.818400,2007,2014,7,4,3
45.316626,-75.841482,2007,2015,8,4,4
45.316627,-75.822498,2007,2014,7,4,4
